544658	544686	544649	544757
2001688	2001704	2001192	2003064
8318282	8318293	8318153	8319302
8377353	8377382	8376246	8378078
8702966	8702977	8702398	8703277
8703109	8703130	8702398	8703277
9556016	9556027	9555939	9556671
9751830	9751841	9751608	9751846
10054547	10054558	10054516	10054658
10726338	10726349	10725737	10726666
10765414	10765425	10765400	10765916
11200979	11200990	11200575	11201339
11201205	11201231	11200575	11201339
11300106	11300117	11300022	11300148
11708667	11708686	11708312	11708928
11708832	11708856	11708312	11708928
11750153	11750164	11750110	11750236
11783218	11783229	11783202	11783399
11808705	11808769	11808517	11808891
13100102	13100117	13099346	13100770
15540518	15540535	15540430	15540568
17027455	17027466	17027279	17027660
17027486	17027497	17027279	17027660
17957599	17957610	17957539	17957775
17960374	17960385	17960314	17960444
18084258	18084273	18083980	18084286
21913551	21913562	21913538	21913601
22034132	22034193	22034108	22034275
22072367	22072386	22072325	22072450
22162646	22162662	22162573	22162732
22163547	22163559	22163435	22163564
22194127	22194138	22194057	22194174
22248595	22248606	22248480	22248649
22404715	22404726	22404710	22404980
22579174	22579185	22578779	22579527
22602108	22602119	22601971	22602312
23007221	23007246	23006727	23007746
23529072	23529083	23529059	23529212
23682701	23682727	23682603	23682889
24952911	24952935	24952809	24952952
25444311	25444322	25444291	25444335
25483418	25483429	25483398	25483486
26383151	26383162	26383130	26383230
26383168	26383184	26383130	26383230
27454277	27454288	27454153	27454291
27463181	27463192	27462978	27463993
27810960	27810975	27810957	27811167
27904795	27904821	27904777	27904834
28351709	28351733	28351494	28351807
29049313	29049324	29049289	29049385
30558896	30558907	30558886	30558949
30645489	30645500	30645309	30645597
30653497	30653508	30653432	30653598
31032736	31032757	31031918	31032782
31032747	31032758	31031918	31032782
31087861	31087876	31087775	31087920
31640284	31640300	31639984	31640729
32647234	32647268	32647201	32647390
33496718	33496737	33496624	33496741
37696023	37696048	37695979	37696222
37697434	37697452	37697144	37698674
37698416	37698442	37697144	37698674
37797311	37797329	37797268	37797534
37835253	37835264	37835173	37835398
38269180	38269191	38269125	38269199
38428396	38428415	38428362	38428435
38974317	38974328	38974263	38974729
40153590	40153601	40153532	40153853
41265419	41265430	41265166	41265489
41933269	41933280	41933187	41934867
41934536	41934559	41933187	41934867
41937273	41937294	41937255	41937568
41940898	41940916	41940841	41941444
41977234	41977252	41977007	41977327
47729065	47729076	47728932	47729102
47735493	47735511	47735306	47735512
47860951	47860962	47860898	47860971
48008414	48008425	48008414	48008470
53229599	53229610	53229296	53229829
54459699	54459734	54459057	54459995
55102667	55102692	55102488	55103294
55802468	55802490	55802456	55802606
56437044	56437055	56436938	56437076
58659589	58659612	58659572	58659631
58838237	58838251	58838080	58838311
58959943	58959954	58959942	58960008
60741913	60741924	60741432	60743097
60781121	60781142	60780999	60781430
60856479	60856494	60856444	60856888
61676165	61676183	61676074	61676319
61714324	61714347	61714268	61714371
64581061	64581080	64580790	64581936
64581391	64581407	64580790	64581936
64581466	64581492	64580790	64581936
66080419	66080453	66080376	66080548
66666918	66666950	66664248	66666958
67137462	67137488	67137455	67137603
67159047	67159058	67158990	67159137
67159061	67159072	67158990	67159137
69624025	69624039	69623941	69624197
69755534	69755553	69755423	69755641
69832125	69832136	69831766	69832673
73009049	73009074	73008886	73009205
73032103	73032114	73032041	73032133
76852388	76852408	76850885	76856300
76852940	76852951	76850885	76856300
76853063	76853115	76850885	76856300
76854246	76854281	76850885	76856300
76855532	76855543	76850885	76856300
76863213	76863233	76863093	76864565
78686577	78686591	78686466	78686608
78747059	78747082	78747030	78747096
80487189	80487200	80486810	80487782
80487415	80487433	80487329	80487782
85107301	85107324	85107295	85107403
85126712	85126727	85126688	85126837
89924639	89924650	89924502	89925532
89925507	89925518	89924502	89925532
89955327	89955338	89955282	89955555
90645611	90645622	90645110	90645905
90645724	90645763	90645110	90645905
94380242	94380256	94380144	94380406
94529096	94529121	94529069	94529342
94529150	94529169	94529069	94529342
94529192	94529241	94529069	94529342
94530979	94530997	94530962	94531085
94534880	94534908	94534838	94535007
94940181	94940198	94939859	94940220
95154761	95154782	95154044	95154794
97644686	97644697	97644575	97644887
97644847	97644858	97644792	97644887
97713716	97713735	97713661	97713769
97775978	97775993	97775736	97776108
99832472	99832483	99832368	99832652
100063938	100063963	100063415	100064043
100141959	100141970	100140682	100142168
100213263	100213287	100213089	100213428
100721325	100721336	100721127	100721583
100721351	100721365	100721127	100721583
102560756	102560818	102560451	102560884
103371705	103371729	103371656	103371806
107497530	107497550	107497261	107497558
108234961	108234980	108234949	108235102
109526877	109526900	109526783	109527020
109560886	109560897	109560837	109560929
116755711	116755728	116755665	116755797
116771760	116771783	116771455	116771842
116938486	116938507	116938243	116938567
119732011	119732046	119731923	119732186
119732044	119732055	119731923	119732186
120811815	120811834	120811758	120811843
123126600	123126611	123126507	123126687
123369889	123370012	123369820	123370024
123369904	123369994	123369820	123370024
124372071	124372097	124371853	124372157
124557785	124557796	124557687	124557875
126557184	126557195	126556456	126557389
127738359	127738386	127738262	127739019
131039969	131039999	131039373	131040333
132480456	132480512	132480146	132480532
132817534	132817545	132817407	132817545
132825330	132825357	132825263	132825371
132842774	132842785	132842514	132842875
133267092	133267103	133267077	133267122
134599825	134599836	134599799	134599862
141218391	141218402	141218010	141219029
142229505	142229521	142229483	142229579
142464246	142464270	142464198	142464982
143213842	143213864	143213821	143213950
143275172	143275183	143274977	143275252
143429783	143429813	143429344	143430406
143429939	143429987	143429344	143430406
143430149	143430182	143429344	143430406
143440208	143440239	143440040	143440363
143597968	143597998	143597903	143599832
143707310	143707324	143706693	143707569
143808688	143808748	143808608	143809025
143821611	143821622	143821596	143821686
143824350	143824365	143824312	143824399
143840755	143840816	143840705	143840834
143840778	143840801	143840705	143840834
143862553	143862570	143857986	143873253
143917055	143917066	143916176	143922395
143918952	143918966	143916176	143922395
143922201	143922223	143916176	143922395
143924084	143924103	143922503	143925884
143926783	143926794	143926783	143926882
143932459	143932473	143932399	143932561
143934880	143934891	143934809	143934929
143983675	143983686	143983311	143983811
144046890	144046901	144046626	144046956
144103719	144103738	144103552	144103753
144112105	144112116	144111886	144112144
144267088	144267107	144266613	144267180
144326569	144326580	144326436	144326636
